Year ,Month,Deaths 
2009,1,55045
2009,2,41433
2009,3,42395
2009,4,40270
2009,5,36568
2009,6,38851
2009,7,37975
2009,8,33606
2009,9,39127
2009,10,40187
2009,11,40122
2009,12,45769
2010,1,48269
2010,2,40984
2010,3,45071
2010,4,40507
2010,5,36439
2010,6,40080
2010,7,36799
2010,8,35979
2010,9,39317
2010,10,38540
2010,11,42038
2010,12,48191
2011,1,49893
2011,2,39278
2011,3,44129
2011,4,36868
2011,5,40003
2011,6,39904
2011,7,35541
2011,8,38283
2011,9,38253
2011,10,37119
2011,11,40543
2011,12,43474
2012,1,46804
2012,2,44472
2012,3,44067
2012,4,41596
2012,5,43917
2012,6,36594
2012,7,39201
2012,8,38924
2012,9,35133
2012,10,43083
2012,11,42033
2012,12,42457
2013,1,52813
2013,2,43712
2013,3,44833
2013,4,49630
2013,5,42179
2013,6,35779
2013,7,39709
2013,8,35585
2013,9,36677
2013,10,42214
2013,11,39853
2013,12,42706
2014,1,48916
2014,2,41114
2014,3,41129
2014,4,41419
2014,5,39338
2014,6,38434
2014,7,41140
2014,8,35861
2014,9,40874
2014,10,43052
2014,11,39373
2014,12,49664
2015,1,60779
2015,2,46634
2015,3,47820
2015,4,45077
2015,5,39250
2015,6,41992
2015,7,40400
2015,8,36096
2015,9,41491
2015,10,42125
2015,11,41431
2015,12,45412
2016,1,47351
2016,2,45922
2016,3,48562
2016,4,46755
2016,5,41291
2016,6,41921
2016,7,38882
2016,8,40676
2016,9,40250
2016,10,40360
2016,11,46418
2016,12,45469
2017,1,57266
2017,2,47695
2017,3,48577
2017,4,39024
2017,5,44183
2017,6,42074
2017,7,38314
2017,8,40963
2017,9,40002
2017,10,43504
2017,11,45476
2017,12,45052
2018,1,64020
2018,2,49087
2018,3,51131
2018,4,46383
2018,5,42685
2018,6,39679
2018,7,40621
2018,8,40071
2018,9,37013
2018,10,44311
2018,11,43834
2018,12,41430
2019,1,53772
2019,2,45696
2019,3,43815
2019,4,44003
2019,5,44290
2019,6,38511
2019,7,42183
2019,8,38719
2019,9,39915
2019,10,46133
2019,11,45111
2019,12,47384
2020,1,56597
2020,2,43555